date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:57	27/27	---M--	200	added ('OK')	text/plain	date:Wed,%2003%20Nov%202021%2015:09:56%20GMT	https://www.bimagarage.com/robots.txt		(from )
20:39:58	27233/27233	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2015:09:57%20GMT	https://www.bimagarage.com/	/home/psxo5/websites/True_Health/www.bimagarage.com/index.html	(from )
20:39:59	3351/3351	---M--	200	added ('OK')	text/css	etag:%22d17-58b2df99db47c%22	https://cdn.boomcdn.com/libs/owl-carousel/2.3.4/assets/owl.carousel.min.css	/home/psxo5/websites/True_Health/cdn.boomcdn.com/libs/owl-carousel/2.3.4/assets/owl.carousel.min.css	(from https://www.bimagarage.com/)
20:40:00	1380/1380	---M--	200	added ('OK')	text/css	etag:%22564-58b2df99e9edb%22	https://cdn.boomcdn.com/libs/owl-carousel/2.3.4/assets/owl.theme.default.css	/home/psxo5/websites/True_Health/cdn.boomcdn.com/libs/owl-carousel/2.3.4/assets/owl.theme.default.css	(from https://www.bimagarage.com/)
20:40:00	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Nov%202021%2015:10:00%20GMT	https://fonts.gstatic.com/	/home/psxo5/websites/True_Health/fonts.gstatic.com/index.html	(from https://www.bimagarage.com/)
20:40:00	1289/1289	---MC-	200	added ('OK')	text/css	date:Wed,%2003%20Nov%202021%2015:10:00%20GMT	https://fonts.googleapis.com/css2?family=Montserrat:ital,wght@0,400;0,500;0,600;0,800;0,900;1,600&display=swap	/home/psxo5/websites/True_Health/fonts.googleapis.com/css25bc4.css	(from https://www.bimagarage.com/)
20:40:01	169/169	---MC-	200	added ('OK')	text/css	date:Wed,%2003%20Nov%202021%2015:10:01%20GMT	https://fonts.googleapis.com/css2?family=Teko	/home/psxo5/websites/True_Health/fonts.googleapis.com/css2daf2.css	(from https://www.bimagarage.com/)
20:40:02	1174/1174	---M-Z	200	added ('OK')	text/css	etag:%225eb03f3f-496%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.css	/home/psxo5/websites/True_Health/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.css	(from https://www.bimagarage.com/)
20:40:03	1152/1152	---M-Z	200	added ('OK')	text/css	etag:%225eb03f3f-480%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.theme.min.css	/home/psxo5/websites/True_Health/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.theme.min.css	(from https://www.bimagarage.com/)
20:40:04	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Nov%202021%2015:10:04%20GMT	https://fonts.gstatic.com/robots.txt		(from https://www.bimagarage.com/)
20:40:06	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2003%20Nov%202021%2015:10:05%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.bimagarage.com/)
20:40:06	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-58b2df9a303d9%22	https://cdn.boomcdn.com/libs/owl-carousel/2.3.4/assets/owl.video.play.png	/home/psxo5/websites/True_Health/cdn.boomcdn.com/libs/owl-carousel/2.3.4/assets/owl.video.play.png	(from https://cdn.boomcdn.com/libs/owl-carousel/2.3.4/assets/owl.carousel.min.css)
20:40:07	108/108	---M-Z	200	added ('OK')	image/png	etag:%225eb03f3f-6c%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/grabbing.png	/home/psxo5/websites/True_Health/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/grabbing.png	(from https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.css)
20:40:08	1517/1517	---M-Z	200	added ('OK')	image/gif	etag:%225eb03f3f-5ed%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/AjaxLoader.gif	/home/psxo5/websites/True_Health/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/AjaxLoader.gif	(from https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.theme.min.css)
